,% Dly Qt to Traded Qty,Average Price,Close Price,Date,Deliverable Qty,High Price,Last Price,Low Price,No. of Trades,Open Price,Prev Close,Series,Symbol,Total Traded Quantity,Turnover in Lacs
322,,940.64,947.05,29-Apr-2010,,951.0,948.0,923.0,-,923.0,919.45,EQ,ICICIBANK,4649510,43734.94
323,,956.27,951.95,30-Apr-2010,,964.4,948.2,947.15,-,952.9,947.05,EQ,ICICIBANK,3406725,32577.56
324,,944.21,936.9,03-May-2010,,957.95,937.05,933.0,-,946.1,951.95,EQ,ICICIBANK,2984585,28180.68
325,,926.84,915.2,04-May-2010,,946.6,916.0,909.0,-,941.9,936.9,EQ,ICICIBANK,3506018,32495.16
326,,898.14,903.65,05-May-2010,,910.0,906.7,887.25,-,910.0,915.2,EQ,ICICIBANK,5285087,47467.4
327,,901.93,902.85,06-May-2010,,912.55,901.4,891.0,-,898.45,903.65,EQ,ICICIBANK,3270914,29501.25
328,,880.33,876.6,07-May-2010,,892.0,877.0,869.0,-,884.9,902.85,EQ,ICICIBANK,5115017,45029.04
329,,913.15,922.1,10-May-2010,,928.0,923.65,888.6,-,889.9,876.6,EQ,ICICIBANK,4430143,40453.66
330,,920.82,916.6,11-May-2010,,934.0,918.0,908.0,-,922.0,922.1,EQ,ICICIBANK,4166762,38368.48
331,,915.14,914.75,12-May-2010,,923.4,914.2,906.1,-,922.0,916.6,EQ,ICICIBANK,3526949,32276.46
332,,928.32,927.0,13-May-2010,,934.0,928.0,921.05,-,922.0,914.75,EQ,ICICIBANK,2924053,27144.47
333,,917.33,911.05,14-May-2010,,925.05,908.7,905.0,-,925.05,927.0,EQ,ICICIBANK,2585990,23722.0
334,,893.24,901.1,17-May-2010,,904.9,899.25,883.05,-,898.0,911.05,EQ,ICICIBANK,3404595,30411.37
335,,891.79,889.2,18-May-2010,,902.25,891.0,882.5,-,902.25,901.1,EQ,ICICIBANK,3647882,32531.35
336,,843.54,824.45,19-May-2010,,884.0,830.0,818.0,-,880.0,889.2,EQ,ICICIBANK,12227558,103143.97
337,,830.68,831.65,20-May-2010,,847.0,836.1,815.5,-,831.0,824.45,EQ,ICICIBANK,6381900,53013.24
338,,826.36,834.8,21-May-2010,,839.05,834.0,807.3,-,812.95,831.65,EQ,ICICIBANK,4506121,37236.95
339,,840.3,832.1,24-May-2010,,949.6,825.2,825.0,-,839.5,834.8,EQ,ICICIBANK,4245575,35675.36
340,,810.53,809.35,25-May-2010,,821.1,811.4,802.35,-,821.1,832.1,EQ,ICICIBANK,4537380,36776.7
341,,835.42,847.75,26-May-2010,,850.75,848.0,821.2,-,825.05,809.35,EQ,ICICIBANK,4346267,36309.72
342,,849.74,856.8,27-May-2010,,865.0,860.0,833.25,-,845.0,847.75,EQ,ICICIBANK,5838511,49611.91
343,,860.74,864.75,28-May-2010,,877.0,862.0,848.65,-,862.1,856.8,EQ,ICICIBANK,4071926,35048.71
344,,866.68,868.3,31-May-2010,,874.45,866.0,857.4,-,864.75,864.75,EQ,ICICIBANK,3698709,32055.85
345,,844.44,837.95,01-Jun-2010,,864.8,837.0,833.1,-,851.65,868.3,EQ,ICICIBANK,3878011,32747.49
346,,838.31,842.3,02-Jun-2010,,849.9,844.05,823.0,-,844.7,837.95,EQ,ICICIBANK,3320996,27840.37
347,,853.51,854.1,03-Jun-2010,,859.05,851.7,848.2,-,851.4,842.3,EQ,ICICIBANK,2494522,21291.03
348,,862.85,865.85,04-Jun-2010,,868.6,866.0,854.1,-,854.1,854.1,EQ,ICICIBANK,2963920,25574.1
349,,839.89,841.95,07-Jun-2010,,850.0,843.25,712.0,-,712.0,865.85,EQ,ICICIBANK,3471483,29156.74
350,,830.83,817.5,08-Jun-2010,,844.7,816.5,813.1,-,839.0,841.95,EQ,ICICIBANK,4655052,38675.46
351,,827.8,824.55,09-Jun-2010,,839.9,826.5,817.0,-,817.0,817.5,EQ,ICICIBANK,3618518,29954.05
352,,823.48,829.05,10-Jun-2010,,834.2,827.1,814.0,-,822.8,824.55,EQ,ICICIBANK,3597611,29625.67
353,,840.28,846.0,11-Jun-2010,,850.0,846.6,831.8,-,845.0,829.05,EQ,ICICIBANK,3795477,31892.52
354,,852.84,853.65,14-Jun-2010,,859.0,852.1,843.4,-,855.0,846.0,EQ,ICICIBANK,2758649,23526.75
355,,849.35,860.1,15-Jun-2010,,864.85,864.0,839.3,-,853.65,853.65,EQ,ICICIBANK,2635443,22384.07
356,,868.81,876.75,16-Jun-2010,,879.9,873.0,860.05,-,869.0,860.1,EQ,ICICIBANK,3761689,32682.06
357,,874.03,883.85,17-Jun-2010,,891.9,879.25,846.0,-,878.0,876.75,EQ,ICICIBANK,11674290,102037.07
